case_id,judgment_date,judgment_year,court_name,case_number,case_name,domain,n_chars,mu_F,mu_T,pi_V,pi_C,pi_H,pi_M,H_star,mu_total,pi_total,lambda_E,lambda_M,lambda_P,sa_survey,sa_stat,sa_norm,mu_LS,has_sa_any,post_minpou_2020,court_layer,period,pi_C_v2,mu_T_v2,pi_V_v2,pi_total_v2,mu_total_v2
085539_hanrei,2015-10-06,2015,原審・東京地方裁判所,平成27年(ネ)第10070号,不正競争行為差止等請求控訴事件,civil,15098,0.06623393826996954,0.0,0.0,0.0,0.0,0.06623393826996954,0.0,0.06623393826996954,0.06623393826996954,0.0,0.32098765432098764,0.6790123456790123,0.0,0.7948072592396344,0.06623393826996954,0.861041197509604,1,0,district,2015-2019,0.1987018148099086,0.5961054444297258,0.3974036296198172,0.6623393826996953,0.6623393826996953
085580_hanrei,2015-10-06,2015,地方裁判所,平成27年(ワ)第10310号,証書真否確認等請求事件,civil,8432,0.0,0.0,0.0,0.0,0.0,0.11859582542694497,0.0,0.0,0.11859582542694497,0.125,0.25,0.6250000000000001,0.0,0.23719165085388993,0.23719165085388993,0.47438330170777987,1,0,district,2015-2019,0.11859582542694497,0.47438330170777987,0.3557874762808349,0.5929791271347249,0.47438330170777987
085656_hanrei,2015-07-16,2015,日千葉地方裁判所,平成26年(わ)第1717号,"住居侵入,窃盗未遂,殺人被告事件",criminal,10043,0.09957184108334163,0.0,0.0,0.0,0.0,0.2987155232500249,0.0,0.09957184108334163,0.2987155232500249,0.0,0.6,0.4,0.0,0.09957184108334163,0.0,0.09957184108334163,1,0,district,2015-2019,0.19914368216668327,0.7965747286667331,0.39828736433336653,0.8961465697500748,0.8961465697500747
085879_hanrei,2016-02-03,2016,,,,civil,1022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,unknown,2015-2019,1.9569471624266144,0.0,0.9784735812133072,2.935420743639922,0.0
085598_hanrei,2015-11-20,2015,地方裁判所,平成25年(ワ)第3357号,特許権侵害差止請求事件,commercial,42766,0.023383061310386755,0.0,0.0,0.0,0.0,0.023383061310386755,0.0,0.023383061310386755,0.023383061310386755,0.7857142857142857,0.0,0.21428571428571427,0.0,2.1512416405555816,0.023383061310386755,2.1746247018659686,1,0,district,2015-2019,0.023383061310386755,0.07014918393116026,0.2572136744142543,0.3039797970350278,0.09353224524154702
085751_hanrei,2015-09-16,2015,地方裁判所,平成24年(わ)第887号,,criminal,67649,0.02956436902245414,0.0,0.0,0.0,0.0,0.0,0.0,0.02956436902245414,0.0,0.0,0.6,0.39999999999999997,0.0,0.07391092255613535,0.01478218451122707,0.08869310706736241,1,0,district,2015-2019,0.08869310706736241,0.05912873804490828,0.6947626720276723,0.7834557790950347,0.08869310706736241
085545_hanrei,2015-12-14,2015,最高裁判所第二小法廷,平成26年(あ)第1483号,補助金等に係る予算の執行の適正化に関する法律違反被告事件,criminal,2575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285715,0.9428571428571428,0.0,0.0,0.0,0.0,0.0,0,0,supreme,2015-2019,0.0,0.0,0.0,0.0,0.0
085760_hanrei,2015-09-29,2015,地方裁判所,平成27年(行ク)第342号,執行停止の申立て事件,administrative,9827,0.0,0.3052813676605271,0.0,0.0,0.0,0.10176045588684238,0.0,0.3052813676605271,0.10176045588684238,0.0,0.8152173913043478,0.18478260869565216,0.0,0.10176045588684238,0.10176045588684238,0.20352091177368475,1,0,district,2015-2019,1.3228859265289508,0.814083647094739,1.628167294189478,3.0528136766052714,0.814083647094739
085912_hanrei,2015-10-22,2015,地方裁判所,平成26年(ワ)第26819号,違約金等請求事件,civil,18940,0.1583949313621964,0.3167898627243928,0.0,0.0,0.0,0.0,0.0,0.4751847940865892,0.0,0.14285714285714285,0.8571428571428571,0.0,0.1583949313621964,0.4751847940865892,0.0,0.6335797254487856,1,0,district,2015-2019,0.05279831045406547,0.6335797254487856,0.8447729672650475,0.8975712777191129,0.791974656810982
085655_hanrei,2015-04-27,2015,地方裁判所,平成26年(ワ)第17797号,特許権侵害損害賠償請求事件,commercial,7890,0.1267427122940431,0.0,0.0,0.0,0.5069708491761724,0.0,0.0,0.1267427122940431,0.5069708491761724,1.0,0.0,0.0,0.0,0.6337135614702155,0.0,0.6337135614702155,1,0,district,2015-2019,0.1267427122940431,0.1267427122940431,0.0,0.6337135614702155,0.2534854245880862
